school,sex,age,studytime,failures,absences,G1,G2,G3,Medu,Fedu,traveltime,famsup,schoolsup,internet,freetime,goout,health,subject,performance_category
GP,F,15,1,0,0,8,7,6,2,3,2,yes,no,no,5,1,5,Mathematics,Low
GP,M,15,3,0,2,15,16,18,4,3,1,yes,no,yes,4,3,4,Mathematics,High
GP,M,16,3,0,7,15,16,15,4,4,2,yes,no,yes,4,3,5,Mathematics,High
GP,F,15,3,0,2,12,12,11,3,4,1,yes,yes,yes,3,2,5,Mathematics,Medium
GP,F,15,1,0,8,14,13,13,2,2,1,yes,yes,no,3,1,2,Mathematics,Medium
GP,F,16,2,1,25,7,10,11,2,2,2,yes,no,yes,3,3,3,Mathematics,Medium
GP,M,15,1,0,8,12,12,12,4,4,1,yes,no,yes,4,3,5,Mathematics,Medium
GP,M,15,2,0,2,19,18,18,4,4,1,yes,no,yes,3,3,5,Mathematics,High
GP,M,15,1,0,0,8,8,11,2,2,1,yes,yes,yes,4,1,1,Mathematics,Medium
GP,F,16,2,1,14,10,10,9,2,2,2,no,yes,yes,3,3,5,Mathematics,Low
GP,F,15,2,0,8,8,8,6,4,3,1,yes,yes,yes,2,2,5,Mathematics,Low
GP,F,16,2,0,12,11,12,11,3,3,1,yes,no,yes,3,5,3,Mathematics,Medium
GP,M,16,4,0,4,19,19,20,4,3,1,no,no,yes,2,2,2,Mathematics,High
GP,M,15,2,0,2,15,15,14,4,2,1,yes,no,no,3,3,5,Mathematics,Medium
GP,F,15,2,1,2,7,7,7,4,4,1,yes,yes,yes,4,4,3,Mathematics,Low
GP,F,16,2,0,2,12,13,13,2,2,3,yes,no,yes,3,3,4,Mathematics,Medium
GP,F,15,2,0,2,11,13,13,4,2,1,yes,no,yes,3,3,5,Mathematics,Medium
GP,M,15,1,1,6,11,11,10,4,2,2,no,no,no,5,5,5,Mathematics,Medium
GP,F,15,1,0,0,8,10,11,4,4,1,yes,yes,yes,3,4,5,Mathematics,Medium
GP,F,15,1,0,6,10,13,13,3,3,1,no,no,yes,3,4,1,Mathematics,Medium
GP,F,16,2,0,8,8,9,10,2,1,1,no,no,yes,3,4,2,Mathematics,Medium
GP,F,15,2,0,0,14,15,15,4,3,1,yes,no,yes,3,2,1,Mathematics,High
GP,M,15,2,0,4,14,15,15,4,4,1,yes,no,no,2,2,5,Mathematics,High
GP,M,15,2,0,2,9,10,9,1,2,1,yes,yes,yes,3,2,5,Mathematics,Low
GP,F,16,2,0,2,15,16,16,4,2,1,yes,no,yes,2,3,5,Mathematics,High
GP,F,16,2,0,6,10,11,11,4,4,1,yes,no,no,4,4,4,Mathematics,Medium
GP,F,16,1,0,6,10,8,11,1,1,4,yes,yes,yes,5,5,5,Mathematics,Medium
GP,F,16,2,0,4,8,10,9,1,2,1,no,yes,yes,4,3,1,Mathematics,Low
GP,F,16,3,0,2,10,9,9,4,3,1,yes,yes,yes,4,4,4,Mathematics,Low
GP,F,15,2,0,0,10,10,10,4,3,1,no,yes,yes,4,4,2,Mathematics,Medium
GP,F,16,2,0,2,16,15,15,4,3,3,yes,no,yes,4,3,1,Mathematics,High
GP,M,15,4,0,4,13,13,12,4,4,1,yes,no,yes,3,3,3,Mathematics,Medium
GP,F,16,4,0,4,7,7,6,3,1,1,yes,yes,yes,3,3,5,Mathematics,Low
GP,F,15,2,0,2,8,9,8,2,2,2,yes,yes,yes,1,3,4,Mathematics,Low
GP,F,15,4,0,12,16,16,16,3,1,2,yes,no,yes,4,2,3,Mathematics,High
GP,M,16,4,0,0,13,15,15,3,1,2,yes,no,yes,3,2,5,Mathematics,High
GP,M,15,4,0,0,10,10,10,4,2,1,no,no,yes,3,3,3,Mathematics,Medium
GP,F,15,2,2,2,8,6,5,1,1,1,yes,yes,yes,3,4,5,Mathematics,Low
GP,M,16,1,0,2,12,12,14,3,1,1,no,no,no,3,2,5,Mathematics,Medium
GP,F,16,2,0,54,11,12,11,3,3,1,yes,yes,yes,3,3,5,Mathematics,Medium
GP,M,15,2,0,6,9,9,10,4,3,1,yes,no,yes,3,3,5,Mathematics,Medium
GP,M,15,4,0,8,11,11,10,4,0,2,no,no,yes,4,3,1,Mathematics,Medium
GP,F,16,4,0,0,11,11,11,2,2,1,no,no,yes,2,3,3,Mathematics,Medium
GP,M,17,1,3,2,8,8,10,2,1,2,yes,yes,yes,5,1,3,Mathematics,Medium
GP,F,16,2,0,12,5,5,5,3,4,1,yes,no,yes,4,3,3,Mathematics,Low
GP,M,15,1,0,2,10,12,12,2,3,1,yes,yes,yes,2,2,3,Mathematics,Medium
GP,M,15,3,0,4,11,10,11,2,3,1,no,yes,yes,3,2,5,Mathematics,Medium
GP,F,15,2,0,10,7,6,6,3,2,1,yes,no,yes,4,4,5,Mathematics,Low
GP,M,15,2,0,4,15,15,15,2,2,2,no,no,yes,3,3,4,Mathematics,High
GP,F,15,2,0,2,9,10,10,1,1,1,yes,no,yes,3,2,4,Mathematics,Medium
GP,F,15,2,2,6,7,9,8,4,4,2,no,no,yes,4,4,5,Mathematics,Low
GP,F,16,2,0,4,8,7,6,2,2,1,yes,no,no,3,4,2,Mathematics,Low
GP,F,15,3,0,4,13,14,14,4,2,1,yes,no,yes,3,3,1,Mathematics,Medium
GP,M,16,2,1,12,11,10,10,2,2,2,no,no,yes,4,2,3,Mathematics,Medium
GP,M,16,2,0,18,8,6,7,4,4,1,yes,no,no,1,3,5,Mathematics,Low
GP,F,16,3,0,0,7,7,8,3,3,1,yes,no,yes,3,3,4,Mathematics,Low
GP,F,15,1,0,4,16,17,18,4,3,1,no,no,yes,5,5,1,Mathematics,High
GP,F,16,2,0,4,7,6,6,3,1,1,yes,yes,no,3,3,2,Mathematics,Low
GP,F,16,2,0,0,11,10,10,4,2,2,yes,no,yes,3,3,1,Mathematics,Medium
GP,M,15,4,0,6,11,13,14,2,2,1,yes,no,yes,3,4,4,Mathematics,Medium
GP,F,15,4,1,2,7,10,10,1,1,2,yes,yes,yes,1,2,1,Mathematics,Medium
GP,M,16,1,0,2,11,15,15,4,3,2,yes,yes,yes,3,3,4,Mathematics,High
GP,F,16,2,0,2,8,9,10,2,1,1,yes,no,no,3,5,5,Mathematics,Medium
GP,F,16,1,0,6,11,14,14,4,4,1,no,no,yes,3,4,1,Mathematics,Medium
GP,F,16,3,0,0,7,9,8,4,3,1,yes,yes,yes,3,5,3,Mathematics,Low
GP,M,16,1,0,14,7,7,5,4,4,1,yes,yes,yes,5,5,4,Mathematics,Low
GP,M,16,3,0,0,16,17,17,4,4,1,yes,no,yes,4,3,4,Mathematics,High
GP,M,15,1,0,4,10,13,14,4,4,1,yes,no,yes,3,3,5,Mathematics,Medium
GP,F,15,2,0,26,7,6,6,3,2,2,yes,yes,yes,3,5,2,Mathematics,Low
GP,M,15,2,0,0,16,18,18,3,4,1,yes,no,yes,4,4,1,Mathematics,High
GP,F,15,4,0,10,10,11,11,3,3,1,no,yes,no,3,3,4,Mathematics,Medium
GP,F,15,4,0,8,7,8,8,2,2,1,yes,yes,yes,1,2,3,Mathematics,Low
GP,M,16,3,0,2,16,18,18,3,3,1,yes,no,yes,3,3,5,Mathematics,High
GP,M,15,4,0,6,10,13,13,4,4,4,yes,no,yes,3,5,1,Mathematics,Medium
GP,F,16,3,0,4,14,15,16,4,4,1,yes,no,yes,4,5,4,Mathematics,High
GP,M,15,1,0,6,18,19,19,4,4,1,no,no,yes,5,3,4,Mathematics,High
GP,F,16,3,1,0,7,10,10,3,3,1,yes,yes,yes,1,2,2,Mathematics,Medium
GP,F,16,2,1,6,10,13,13,2,2,1,no,yes,yes,1,2,5,Mathematics,Medium
GP,M,15,1,0,10,18,19,19,4,2,1,no,no,yes,5,2,3,Mathematics,High
GP,M,15,2,0,8,9,9,9,2,1,1,no,no,yes,4,2,5,Mathematics,Low
GP,M,16,2,0,2,15,15,16,4,4,1,yes,no,yes,4,4,5,Mathematics,High
GP,M,15,2,0,2,11,13,14,4,4,2,yes,no,no,4,3,2,Mathematics,Medium
GP,M,16,1,0,0,13,14,13,3,3,2,no,no,yes,4,2,5,Mathematics,Medium
GP,M,17,2,1,20,9,7,8,1,3,3,yes,no,yes,2,4,5,Mathematics,Low
GP,M,15,1,0,6,14,13,13,3,4,1,no,no,yes,4,3,4,Mathematics,Medium
GP,F,15,2,0,2,16,15,15,1,2,1,no,no,yes,2,3,1,Mathematics,High
GP,M,15,4,0,6,16,14,15,2,2,1,yes,no,yes,5,4,5,Mathematics,High
GP,F,16,2,0,2,13,13,13,2,4,2,yes,no,yes,2,2,5,Mathematics,Medium
GP,M,16,1,0,18,14,11,13,4,4,1,yes,no,yes,4,4,5,Mathematics,Medium
GP,F,16,2,0,0,8,7,8,2,2,1,no,no,yes,4,4,5,Mathematics,Low
GP,M,15,1,0,0,13,13,12,3,4,1,no,yes,yes,5,5,5,Mathematics,Medium
GP,F,15,2,0,0,7,10,11,3,4,1,no,yes,yes,3,2,1,Mathematics,Medium
GP,F,19,2,3,2,7,8,9,0,1,1,yes,no,no,4,2,5,Mathematics,Low
GP,M,18,1,2,0,7,4,0,2,2,1,yes,no,yes,3,3,4,Mathematics,Low
GP,M,16,1,0,8,18,18,18,4,4,1,no,no,yes,5,5,4,Mathematics,High
GP,F,15,3,2,0,12,0,0,3,4,2,yes,no,yes,2,2,5,Mathematics,Low
GP,F,15,1,0,0,8,0,0,1,1,3,yes,no,yes,3,3,4,Mathematics,Low
GP,F,17,1,0,12,10,13,12,2,2,1,yes,no,yes,4,4,5,Mathematics,Medium
GP,F,16,1,0,16,12,11,11,3,4,1,no,no,yes,2,1,5,Mathematics,Medium
GP,M,15,2,0,0,9,0,0,3,4,4,yes,no,no,3,3,5,Mathematics,Low
GP,F,15,3,0,0,11,0,0,4,4,1,yes,no,yes,3,3,5,Mathematics,Low
GP,M,17,2,0,0,10,0,0,3,4,3,no,no,no,4,5,5,Mathematics,Low
GP,F,16,1,2,0,4,0,0,3,3,2,yes,no,yes,3,2,5,Mathematics,Low
GP,M,16,2,1,0,14,12,12,1,1,1,no,no,no,4,4,5,Mathematics,Medium
GP,F,15,1,0,0,16,16,15,4,4,2,no,no,yes,3,2,5,Mathematics,High
GP,M,15,4,0,0,7,9,0,4,3,2,yes,yes,yes,2,2,3,Mathematics,Low
GP,M,16,1,2,8,9,9,9,2,2,2,yes,no,yes,3,3,2,Mathematics,Low
GP,F,15,3,0,2,9,11,11,4,4,1,yes,no,yes,2,2,5,Mathematics,Medium
GP,F,16,1,0,2,14,14,13,1,1,1,no,no,yes,4,4,1,Mathematics,Medium
GP,M,17,1,3,0,5,0,0,2,1,1,yes,no,yes,4,5,5,Mathematics,Low
GP,F,15,2,0,0,8,11,11,1,1,1,yes,no,yes,4,2,5,Mathematics,Medium
GP,F,15,2,3,0,6,7,0,3,2,1,yes,no,yes,3,2,3,Mathematics,Low
GP,F,15,2,0,2,10,11,11,1,2,1,yes,no,yes,3,2,5,Mathematics,Medium
GP,M,16,1,0,0,7,6,0,4,4,1,yes,no,yes,3,2,5,Mathematics,Low
GP,M,15,1,3,0,8,9,10,2,1,4,no,no,yes,5,5,5,Mathematics,Medium
GP,M,18,1,3,0,6,5,0,1,1,1,no,no,yes,3,5,4,Mathematics,Low
GP,M,16,1,1,6,12,13,14,2,1,1,no,no,no,4,4,5,Mathematics,Medium
GP,F,15,3,2,8,10,10,10,3,3,2,yes,no,yes,2,1,3,Mathematics,Medium
GP,M,19,1,3,0,5,0,0,3,2,1,yes,no,yes,5,4,4,Mathematics,Low
GP,F,17,1,0,0,11,11,12,4,4,1,yes,yes,no,2,1,4,Mathematics,Medium
GP,M,15,2,0,2,11,8,8,2,3,1,no,yes,no,4,4,1,Mathematics,Low
GP,M,17,1,0,8,16,12,13,1,2,1,no,no,no,2,2,5,Mathematics,Medium
GP,F,18,1,3,6,9,8,10,1,1,3,yes,no,no,2,5,4,Mathematics,Medium
GP,M,16,1,0,2,17,15,15,2,2,3,no,no,no,2,2,3,Mathematics,High
GP,M,16,2,1,4,10,12,12,3,3,1,yes,no,yes,5,5,5,Mathematics,Medium
GP,M,17,1,2,0,7,6,0,2,1,2,no,no,yes,3,2,5,Mathematics,Low
GP,M,15,2,2,6,5,9,7,3,2,2,yes,yes,yes,4,4,3,Mathematics,Low
GP,M,16,1,1,0,7,0,0,1,2,2,no,no,no,4,4,5,Mathematics,Low
GP,M,17,1,0,2,10,10,10,1,3,1,no,no,yes,3,3,2,Mathematics,Medium
GP,M,17,2,3,0,5,8,7,1,1,4,no,no,no,3,5,5,Mathematics,Low
GP,M,16,1,1,16,12,11,12,3,2,2,yes,no,no,5,2,2,Mathematics,Medium
GP,M,16,2,0,4,10,10,10,2,2,1,no,no,yes,3,5,4,Mathematics,Medium
GP,F,16,2,0,0,14,15,16,4,2,1,no,no,yes,2,3,3,Mathematics,High
GP,F,16,2,0,0,6,7,0,2,2,1,yes,no,yes,1,5,4,Mathematics,Low
GP,F,16,2,0,0,14,14,14,4,4,1,yes,no,yes,4,2,3,Mathematics,Medium
GP,M,16,1,2,0,6,5,0,3,4,3,yes,no,yes,4,5,2,Mathematics,Low
GP,M,16,2,0,2,13,15,16,1,0,2,yes,no,yes,3,2,3,Mathematics,High
GP,M,17,2,0,0,13,11,10,4,4,1,yes,no,yes,4,4,5,Mathematics,Medium
GP,F,16,2,3,0,8,7,0,1,3,1,no,no,yes,3,5,3,Mathematics,Low
GP,F,16,2,0,4,10,11,9,3,3,2,yes,no,yes,4,5,4,Mathematics,Low
GP,M,17,2,0,4,10,9,9,4,3,2,no,no,yes,4,4,4,Mathematics,Low
GP,F,16,2,0,2,13,13,11,2,2,2,no,no,yes,4,4,5,Mathematics,Medium
GP,M,17,2,0,4,6,5,6,3,3,1,no,no,yes,3,4,4,Mathematics,Low
GP,M,16,1,0,10,10,8,9,4,2,1,yes,no,yes,3,3,3,Mathematics,Low
GP,M,17,2,0,4,10,10,11,4,3,1,yes,no,yes,2,3,2,Mathematics,Medium
GP,M,16,2,0,10,9,8,8,4,3,1,yes,no,yes,4,3,3,Mathematics,Low
GP,M,16,2,0,2,12,13,12,3,3,1,no,no,yes,2,3,3,Mathematics,Medium
GP,F,17,2,0,0,16,17,17,2,4,1,yes,no,no,4,2,5,Mathematics,High
GP,F,17,2,0,56,9,9,8,3,3,1,yes,no,yes,3,3,1,Mathematics,Low
GP,F,16,2,0,14,12,13,12,3,2,1,yes,no,yes,2,2,1,Mathematics,Medium
GP,M,17,2,0,12,12,12,11,3,3,1,yes,no,yes,3,4,4,Mathematics,Medium
GP,M,16,1,0,2,11,12,11,1,2,1,yes,no,yes,3,3,3,Mathematics,Medium
GP,M,16,2,0,0,15,15,15,2,1,1,no,no,yes,2,3,5,Mathematics,High
GP,F,17,2,0,6,8,7,9,3,3,1,yes,no,yes,3,3,3,Mathematics,Low
GP,M,17,2,0,4,8,9,10,1,2,1,no,no,no,1,3,3,Mathematics,Medium
GP,F,16,2,0,10,11,12,13,2,3,1,no,no,yes,3,3,2,Mathematics,Medium
GP,F,17,2,0,0,8,8,9,1,1,1,no,no,yes,3,3,3,Mathematics,Low
GP,M,17,2,0,12,7,8,8,1,2,2,no,no,yes,4,4,5,Mathematics,Low
GP,M,16,1,0,8,8,9,10,3,3,1,yes,no,yes,3,2,5,Mathematics,Medium
GP,M,16,1,0,0,13,14,14,2,3,2,no,no,yes,3,3,3,Mathematics,Medium
GP,F,17,2,0,0,14,15,15,2,4,1,no,no,yes,3,2,5,Mathematics,High
GP,M,17,1,0,4,17,15,16,4,4,1,no,no,yes,2,3,5,Mathematics,High
GP,M,16,1,0,8,9,9,10,3,3,3,yes,no,yes,3,4,3,Mathematics,Medium
GP,F,17,1,1,24,18,18,18,4,4,2,yes,no,yes,2,4,2,Mathematics,High
GP,F,16,2,0,0,9,9,10,4,4,1,yes,no,yes,5,2,3,Mathematics,Medium
GP,F,16,2,0,2,16,16,16,4,3,1,yes,no,yes,3,5,2,Mathematics,High
GP,F,16,2,0,6,8,10,10,2,3,1,yes,yes,no,4,3,4,Mathematics,Medium
GP,F,17,2,0,4,9,9,10,1,1,1,yes,no,no,4,4,1,Mathematics,Medium
GP,F,17,1,0,18,7,6,6,2,2,1,yes,no,yes,3,2,3,Mathematics,Low
GP,F,16,4,0,6,10,10,11,2,2,2,yes,no,yes,3,5,5,Mathematics,Medium
GP,F,17,3,1,28,10,9,9,3,4,1,yes,no,yes,4,3,5,Mathematics,Low
GP,F,16,2,3,5,7,7,7,3,1,1,yes,no,yes,3,3,4,Mathematics,Low
GP,F,16,2,0,10,11,12,13,4,3,1,no,no,yes,3,2,1,Mathematics,Medium
GP,F,16,1,0,6,9,9,10,1,1,2,yes,no,no,3,2,5,Mathematics,Medium
GP,F,17,3,0,6,7,7,7,4,3,2,yes,no,yes,4,2,4,Mathematics,Low
GP,F,19,4,0,10,8,8,8,3,3,1,yes,no,yes,3,3,3,Mathematics,Low
GP,M,17,2,0,13,12,12,13,4,4,1,yes,no,yes,3,5,3,Mathematics,Medium
GP,F,16,2,0,0,12,13,14,2,2,1,yes,yes,yes,3,4,4,Mathematics,Medium
GP,M,18,2,1,15,6,7,8,2,2,1,yes,no,yes,4,4,5,Mathematics,Low
GP,F,17,1,0,12,8,10,10,4,4,1,yes,no,no,2,1,3,Mathematics,Medium
GP,F,17,2,0,2,14,15,15,3,2,2,no,no,yes,4,4,1,Mathematics,High
GP,F,17,2,2,22,6,6,4,4,3,1,no,no,yes,4,5,1,Mathematics,Low
GP,M,18,2,1,13,6,6,8,3,3,1,yes,no,yes,2,4,4,Mathematics,Low
GP,F,17,1,0,3,7,7,8,2,3,2,yes,no,no,3,3,3,Mathematics,Low
GP,F,17,3,0,4,9,10,10,2,2,1,yes,no,yes,3,3,4,Mathematics,Medium
GP,F,17,2,0,2,6,6,6,2,1,2,yes,no,yes,2,5,5,Mathematics,Low
GP,F,17,3,1,0,6,5,0,1,1,1,yes,no,no,3,4,5,Mathematics,Low
GP,F,16,2,0,2,16,16,17,2,3,1,no,yes,yes,3,1,3,Mathematics,High
GP,M,18,2,0,0,12,13,13,2,2,2,yes,no,yes,3,3,4,Mathematics,Medium
GP,F,16,3,0,0,13,13,14,4,4,1,yes,no,yes,3,2,5,Mathematics,Medium
GP,F,18,2,1,16,9,8,7,3,1,1,no,no,yes,3,3,4,Mathematics,Low
GP,F,17,2,0,10,16,15,15,3,2,1,no,no,yes,3,4,3,Mathematics,High
GP,M,17,2,0,2,12,11,12,2,3,1,yes,no,yes,3,3,3,Mathematics,Medium
GP,M,18,2,0,14,10,8,9,2,1,4,yes,yes,yes,3,2,3,Mathematics,Low
GP,F,17,3,0,10,12,10,12,2,1,2,no,no,yes,2,3,3,Mathematics,Medium
GP,F,17,2,0,14,13,13,14,4,3,1,no,no,yes,2,3,3,Mathematics,Medium
GP,M,17,2,0,4,11,11,11,2,2,2,yes,no,yes,5,2,1,Mathematics,Medium
GP,M,17,2,0,14,11,9,9,4,4,1,yes,yes,yes,5,5,2,Mathematics,Low
GP,M,16,2,0,2,14,13,13,4,4,1,yes,no,yes,2,4,1,Mathematics,Medium
GP,M,16,2,0,18,9,7,6,1,1,2,yes,no,yes,4,2,5,Mathematics,Low
GP,M,16,3,0,10,11,9,10,3,2,2,no,no,yes,3,3,2,Mathematics,Medium
GP,M,17,2,0,4,14,13,13,2,2,1,no,no,yes,4,2,4,Mathematics,Medium
GP,F,16,1,0,20,13,12,12,2,1,1,no,no,yes,5,2,5,Mathematics,Medium
GP,F,17,2,0,2,13,11,11,2,1,3,no,no,no,1,1,3,Mathematics,Medium
GP,M,18,2,1,0,7,7,0,2,2,1,no,no,yes,5,4,2,Mathematics,Low
GP,M,17,2,0,14,12,12,12,4,3,2,no,no,yes,5,5,5,Mathematics,Medium
GP,M,17,2,0,2,10,11,12,4,4,2,yes,no,yes,3,3,4,Mathematics,Medium
GP,M,16,1,0,0,6,0,0,4,3,1,no,no,yes,4,5,3,Mathematics,Low
GP,M,16,1,0,0,13,12,12,4,4,1,no,no,yes,3,2,5,Mathematics,Medium
GP,F,18,3,0,0,7,0,0,2,1,2,yes,no,yes,4,4,3,Mathematics,Low
GP,M,16,1,0,6,18,18,18,2,1,3,no,no,yes,3,3,4,Mathematics,High
GP,M,17,1,0,4,12,12,13,2,3,2,no,no,yes,2,2,2,Mathematics,Medium
GP,M,22,1,3,16,6,8,8,3,1,1,no,no,yes,4,5,1,Mathematics,Low
GP,M,18,2,1,8,3,5,5,3,3,1,yes,no,yes,3,3,5,Mathematics,Low
GP,M,16,1,0,0,13,15,15,0,2,1,no,no,yes,3,2,5,Mathematics,High
GP,M,18,1,1,0,6,8,8,3,2,2,no,no,yes,4,5,5,Mathematics,Low
GP,M,16,2,0,6,7,10,10,3,3,3,yes,yes,yes,3,3,2,Mathematics,Medium
GP,M,18,1,1,4,6,9,8,2,1,1,no,no,yes,2,5,5,Mathematics,Low
GP,M,16,1,0,0,8,9,8,2,1,2,no,no,no,3,2,3,Mathematics,Low
GP,M,17,1,0,0,8,12,12,2,1,1,no,no,yes,4,2,5,Mathematics,Medium
GP,M,17,1,1,2,7,9,8,1,1,2,yes,no,yes,4,4,5,Mathematics,Low
GP,F,17,4,0,6,14,12,13,4,2,1,yes,no,yes,2,3,4,Mathematics,Medium
GP,M,19,2,0,12,11,11,11,4,3,1,yes,no,yes,3,1,1,Mathematics,Medium
GP,M,18,2,0,8,15,14,14,2,1,1,no,no,yes,2,4,4,Mathematics,Medium
GP,F,17,4,0,0,10,9,0,2,2,1,no,no,yes,4,1,2,Mathematics,Low
GP,F,18,2,0,21,17,18,18,4,3,1,yes,no,yes,1,2,2,Mathematics,High
GP,M,18,2,0,2,8,8,8,4,3,1,yes,no,yes,3,2,3,Mathematics,Low
GP,M,18,3,0,1,13,12,12,3,2,1,no,no,no,3,2,3,Mathematics,Medium
GP,F,17,3,0,4,10,9,9,3,3,1,no,no,no,2,3,4,Mathematics,Low
GP,F,18,3,0,0,9,10,0,2,2,1,yes,no,yes,3,3,3,Mathematics,Low
GP,M,18,2,0,13,17,17,17,3,4,2,yes,no,yes,2,5,1,Mathematics,High
GP,M,17,2,0,2,9,9,10,3,1,1,no,no,yes,4,4,5,Mathematics,Medium
GP,F,18,2,0,8,12,10,11,4,4,2,no,no,yes,3,4,4,Mathematics,Medium
GP,M,18,2,0,10,10,9,10,4,2,1,yes,no,yes,4,5,5,Mathematics,Medium
GP,F,18,2,0,0,6,0,0,2,1,2,yes,no,yes,3,5,3,Mathematics,Low
GP,F,19,2,2,15,9,9,9,3,3,1,yes,no,yes,3,5,5,Mathematics,Low
GP,F,18,4,0,4,15,14,14,2,3,1,yes,no,yes,5,5,2,Mathematics,Medium
GP,F,18,2,0,2,11,11,11,1,1,2,yes,no,no,4,3,3,Mathematics,Medium
GP,M,17,2,0,2,15,14,14,1,2,1,yes,no,no,5,2,1,Mathematics,Medium
GP,F,17,2,0,2,10,10,10,2,4,2,yes,no,yes,3,3,1,Mathematics,Medium
GP,F,17,2,0,6,12,12,12,2,2,2,yes,yes,yes,4,4,5,Mathematics,Medium
GP,F,18,2,0,75,10,9,9,3,2,2,no,no,yes,1,1,5,Mathematics,Low
GP,M,18,1,0,22,9,9,9,4,4,2,no,no,yes,2,4,3,Mathematics,Low
GP,F,18,2,1,15,9,8,8,4,4,1,yes,yes,yes,4,4,4,Mathematics,Low
GP,M,18,1,0,8,10,11,10,4,3,2,no,no,yes,2,3,1,Mathematics,Medium
GP,M,17,1,0,30,8,8,8,4,1,2,no,no,yes,5,4,5,Mathematics,Low
GP,M,17,1,1,19,11,9,10,3,2,1,no,no,yes,4,4,3,Mathematics,Medium
GP,F,18,4,0,1,12,12,12,1,1,2,yes,no,no,2,2,3,Mathematics,Medium
GP,F,18,2,0,4,8,9,10,1,1,2,no,yes,yes,4,4,4,Mathematics,Medium
GP,F,17,2,0,4,10,9,11,2,2,1,yes,no,yes,4,5,5,Mathematics,Medium
GP,M,17,2,0,2,12,10,11,1,1,1,no,no,yes,3,3,4,Mathematics,Medium
GP,F,18,3,0,5,18,18,19,2,2,1,yes,no,yes,3,3,2,Mathematics,High
GP,F,17,3,0,6,13,12,12,1,1,1,yes,no,yes,3,3,3,Mathematics,Medium
GP,M,18,3,0,6,15,14,14,2,1,1,no,no,yes,2,4,2,Mathematics,Medium
